City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
242,Collipulli,CL,-37.95,-72.4333,45.59,62,98,2.84,overcast clouds,2022-05-16 00:34:06
243,Arrecife,ES,28.963,-13.5477,67.98,77,20,8.05,few clouds,2022-05-16 00:34:06
244,Comodoro Rivadavia,AR,-45.8667,-67.5,37.26,87,0,6.91,clear sky,2022-05-16 00:34:06
245,College,US,64.8569,-147.8028,52.29,46,75,12.66,broken clouds,2022-05-16 00:34:07
246,Port Hardy,CA,50.6996,-127.4199,48.38,93,100,3.44,light rain,2022-05-16 00:29:29
247,Grand Haven,US,43.0631,-86.2284,65.08,66,100,0.0,overcast clouds,2022-05-16 00:34:07
248,Hailey,US,43.5196,-114.3153,71.8,31,0,11.01,clear sky,2022-05-16 00:34:08
249,Haines Junction,CA,60.7522,-137.5108,48.15,46,100,3.44,overcast clouds,2022-05-16 00:34:08
250,Baruun-Urt,MN,46.6806,113.2792,59.32,24,99,13.71,overcast clouds,2022-05-16 00:34:09
251,Korla,CN,41.7597,86.1469,71.29,17,100,8.08,overcast clouds,2022-05-16 00:34:09
252,Hami,CN,42.8,93.45,69.8,6,98,11.79,overcast clouds,2022-05-16 00:34:09
253,Kourou,GF,5.1552,-52.6478,80.11,94,100,7.92,moderate rain,2022-05-16 00:34:10
254,Wajir,KE,1.7471,40.0573,77.32,70,100,12.41,overcast clouds,2022-05-16 00:34:10
255,Turhal,TR,40.3875,36.0811,50.61,77,27,1.23,scattered clouds,2022-05-16 00:34:11
256,Bethel,US,41.3712,-73.414,70.18,79,67,4.97,broken clouds,2022-05-16 00:34:11
257,Awjilah,LY,29.1081,21.2869,70.52,34,0,9.78,clear sky,2022-05-16 00:34:11
258,Honningsvag,NO,70.9821,25.9704,38.95,81,100,14.97,overcast clouds,2022-05-16 00:34:12
259,Zemio,CF,5.0314,25.1361,69.76,98,100,3.4,light rain,2022-05-16 00:34:12
260,Tabou,CI,4.423,-7.3528,78.64,88,100,6.8,light rain,2022-05-16 00:34:13
261,Ilulissat,GL,69.2167,-51.1,21.22,63,27,0.0,scattered clouds,2022-05-16 00:34:15
262,Sur,OM,22.5667,59.5289,82.36,59,0,5.26,clear sky,2022-05-16 00:34:15
