City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
79,The Pas,CA,2022-05-15 21:05:09,53.8251,-101.2541,41.31,76,100,13.98
80,Labytnangi,RU,2022-05-15 21:00:26,66.6572,66.4183,43.05,93,100,7.78
81,Upernavik,GL,2022-05-15 21:05:09,72.7868,-56.1549,19.85,80,13,7.7
82,Freeport,US,2022-05-15 21:05:10,40.6576,-73.5832,78.15,73,0,11.5
83,Yeppoon,AU,2022-05-15 20:55:20,-23.1333,150.7333,67.78,90,77,6.29
84,Paita,PE,2022-05-15 21:05:10,-5.0892,-81.1144,70.14,74,84,12.95
85,Kavieng,PG,2022-05-15 21:05:11,-2.5744,150.7967,81.23,70,100,4.29
86,Salalah,OM,2022-05-15 21:05:11,17.0151,54.0924,82.49,74,0,2.3
87,Cockburn Town,TC,2022-05-15 21:05:11,21.4612,-71.1419,79.21,79,96,17.9
88,Iwaki,JP,2022-05-15 21:06:12,37.05,140.8833,54.77,93,100,4.54
89,Tahlequah,US,2022-05-15 21:06:12,35.9154,-94.97,88.88,47,40,19.57
90,Mutis,CO,2022-05-15 21:06:13,6.2262,-77.4044,82.62,79,92,5.99
91,Khonsa,IN,2022-05-15 21:06:13,27.0167,95.5667,65.26,97,100,3.96
92,Chimoio,MZ,2022-05-15 21:06:13,-19.1164,33.4833,62.46,100,20,3.58
93,Nuevo Progreso,MX,2022-05-15 21:06:14,23.1667,-97.95,91.54,46,0,5.01
94,Boddam,GB,2022-05-15 21:06:14,57.4667,-1.7833,48.58,91,74,12.68
95,Hithadhoo,MV,2022-05-15 21:06:15,-0.6,73.0833,83.26,73,83,12.59
96,Kirovsk,UA,2022-05-15 21:06:15,48.6375,38.6428,48.63,89,13,8.93
97,Puerto Ayora,EC,2022-05-15 21:06:15,-0.7393,-90.3518,82.36,93,77,3.0
98,Oriximina,BR,2022-05-15 21:06:16,-1.7656,-55.8661,79.0,92,100,3.78
99,Yellowknife,CA,2022-05-15 21:06:16,62.456,-114.3525,53.56,34,100,11.99
100,Coquimbo,CL,2022-05-15 21:01:27,-29.9533,-71.3436,57.69,85,18,3.15
101,Provideniya,RU,2022-05-15 21:06:17,64.3833,-173.3,39.36,70,100,18.01
102,Avera,US,2022-05-15 21:06:17,33.194,-82.5271,89.55,40,85,6.67
103,Terme,TR,2022-05-15 21:06:17,41.2092,36.9739,53.53,84,100,8.39
104,Tura,IN,2022-05-15 21:06:18,25.5198,90.2201,72.93,98,99,6.46
105,Naples,IT,2022-05-15 21:03:39,40.8333,14.25,68.27,80,0,4.61
106,Mar Del Plata,AR,2022-05-15 20:54:34,-38.0023,-57.5575,51.94,85,88,3.0
107,Natal,BR,2022-05-15 21:06:19,-5.795,-35.2094,79.45,94,40,3.44
108,Kavaratti,IN,2022-05-15 21:06:19,10.5669,72.642,81.39,79,100,17.52
109,Ayan,RU,2022-05-15 21:06:19,56.45,138.1667,33.55,92,100,5.77
110,Clyde River,CA,2022-05-15 20:59:02,70.4692,-68.5914,28.63,80,75,11.5
111,Ilulissat,GL,2022-05-15 20:59:05,69.2167,-51.1,26.11,72,2,3.85
112,Neropolis,BR,2022-05-15 21:06:20,-16.4064,-49.2186,81.48,48,84,3.69
113,Freetown,SL,2022-05-15 21:06:20,8.484,-13.2299,81.16,88,27,10.13
114,Geraldton,AU,2022-05-15 20:57:50,-28.7667,114.6,54.01,87,0,11.5
115,Hyeres,FR,2022-05-15 21:06:21,43.1167,6.1167,68.67,94,0,3.44
116,Saint-Philippe,RE,2022-05-15 21:06:21,-21.3585,55.7679,72.99,80,48,10.47
117,Severo-Kurilsk,RU,2022-05-15 20:59:04,50.6789,156.125,35.85,99,100,16.42
118,Redmond,US,2022-05-15 21:02:30,47.674,-122.1215,58.86,87,100,4.0
119,Kharovsk,RU,2022-05-15 21:06:22,59.9642,40.1912,44.53,98,100,6.69
120,Toktogul,KG,2022-05-15 21:06:22,41.8708,72.9402,56.8,70,12,3.29
121,Lompoc,US,2022-05-15 21:06:23,34.6391,-120.4579,81.57,72,100,16.11
122,Paramonga,PE,2022-05-15 21:06:23,-10.6667,-77.8333,67.42,75,66,8.9
123,Ersekvadkert,HU,2022-05-15 21:06:24,47.9962,19.2023,59.2,74,2,3.94
124,La Ronge,CA,2022-05-15 21:06:24,55.1001,-105.2842,46.62,57,75,16.11
125,Toro,CO,2022-05-15 21:06:24,4.6117,-76.0814,84.88,73,99,4.23
126,Skovorodino,RU,2022-05-15 21:06:25,53.9833,123.9167,33.67,65,100,2.42
127,Faanui,PF,2022-05-15 21:06:25,-16.4833,-151.75,80.29,67,43,6.24
128,Grindavik,IS,2022-05-15 21:06:26,63.8424,-22.4338,48.67,100,100,24.16
129,Sao Sebastiao,BR,2022-05-15 21:03:24,-23.76,-45.4097,71.42,90,25,3.24
130,Codrington,AU,2022-05-15 21:00:23,-38.2667,141.9667,52.52,75,100,15.43
131,Kamalpur,IN,2022-05-15 21:06:26,24.2,91.8333,75.58,99,100,2.42
132,Daoukro,CI,2022-05-15 21:06:27,7.0591,-3.9631,76.32,94,100,3.96
133,Maceio,BR,2022-05-15 21:06:27,-9.6658,-35.7353,78.24,83,0,3.44
134,Hambantota,LK,2022-05-15 20:57:58,6.1241,81.1185,79.5,86,62,17.18
135,Monte Patria,CL,2022-05-15 21:07:28,-30.6919,-70.9467,72.25,36,0,5.03
136,Amnat Charoen,TH,2022-05-15 21:07:28,15.9167,104.75,78.58,89,100,4.83
137,Morant Bay,JM,2022-05-15 21:07:29,17.8815,-76.4093,86.7,81,100,10.49
138,East London,ZA,2022-05-15 21:05:48,-33.0153,27.9116,62.76,85,0,9.17
139,Boshnyakovo,RU,2022-05-15 21:07:30,49.6333,142.1667,39.6,90,55,12.77
140,Lorengau,PG,2022-05-15 21:07:30,-2.0226,147.2712,79.74,73,100,2.37
141,Longyearbyen,SJ,2022-05-15 21:07:31,78.2186,15.6401,30.04,80,75,4.61
142,Georgetown,MY,2022-05-15 21:07:31,5.4112,100.3354,80.53,89,40,5.75
143,Bardstown,US,2022-05-15 21:07:32,37.8092,-85.4669,86.61,44,0,0.0
144,Sistranda,NO,2022-05-15 21:07:33,63.7256,8.834,42.76,63,62,10.49
145,Tual,ID,2022-05-15 20:57:49,-5.6667,132.75,82.24,75,100,9.01
146,Rockland,US,2022-05-15 21:07:33,41.1668,-74.0496,81.45,66,30,1.99
147,Chato,TZ,2022-05-15 21:07:34,-2.6378,31.7669,68.31,86,91,3.53
148,Opuwo,NA,2022-05-15 21:07:34,-18.0607,13.84,68.43,33,68,1.7
149,George,ZA,2022-05-15 21:07:35,-33.963,22.4617,53.15,87,0,5.75
150,Gigmoto,PH,2022-05-15 21:07:36,13.7796,124.39,79.59,84,99,5.01
151,Hobyo,SO,2022-05-15 21:07:36,5.3505,48.5268,80.44,81,53,20.62
152,Kyra,RU,2022-05-15 21:07:37,49.5776,111.9753,43.47,42,100,5.5
153,Lokosovo,RU,2022-05-15 21:07:37,61.1333,74.8167,50.5,76,54,7.34
154,Dudinka,RU,2022-05-15 21:07:38,69.4058,86.1778,31.46,100,100,3.51
155,Mandalgovi,MN,2022-05-15 21:07:39,45.7625,106.2708,48.81,26,97,3.74
156,Kyren,RU,2022-05-15 21:07:39,51.6828,102.1408,52.2,38,72,2.91
157,Port Alfred,ZA,2022-05-15 21:07:40,-33.5906,26.891,58.17,94,0,11.86
158,Avarua,CK,2022-05-15 21:07:40,-21.2078,-159.775,82.45,61,75,3.44
159,Kununurra,AU,2022-05-15 21:07:41,-15.7667,128.7333,69.78,94,0,0.0
160,Ayia Paraskevi,GR,2022-05-15 21:07:41,40.4833,23.05,72.75,66,20,4.61
161,Arraial Do Cabo,BR,2022-05-15 21:07:42,-22.9661,-42.0278,75.06,73,75,10.36
162,Honningsvag,NO,2022-05-15 21:07:42,70.9821,25.9704,38.95,87,75,10.36
163,Barrow,US,2022-05-15 21:07:31,71.2906,-156.7887,30.22,86,0,6.91
164,Ust-Kuyga,RU,2022-05-15 21:07:42,70.0167,135.6,17.69,86,75,4.52
165,Upata,VE,2022-05-15 21:06:14,8.0086,-62.3989,77.2,71,100,7.87
166,Honiara,SB,2022-05-15 21:07:43,-9.4333,159.95,79.45,81,6,2.66
